title,category,paragraphs
India's Unpredictability,Indian Tourism ,"[""India tosses up the unexpected. This can be challenging, particularly for the first-time visitor: the poverty is confronting, Indian bureaucracy can be exasperating and the crush of humanity may turn the simplest task into a frazzling epic. Even veteran travellers find their nerves frayed at some point; yet this is all part of the India ride. With an ability to inspire, frustrate, thrill and confound all at once, adopting a 'go with the flow' attitude is wise if you wish to retain your sanity. Love it or loathe it – and most travellers see-saw between the two - to embrace India's unpredictability is to embrace its soul.""]"
Taj Mahal,Indian Tourism ,"[""Exquisite tomb that's as much a monument to love as it is to death, the Taj Mahal is arguably the world's most beautiful building, and has been enshrined in the writings of Tagore and Kipling. Built by Emperor Shah Jahan in adoration of his third wife, Mumtaz Mahal, this milky-white marble mausoleum is inlaid with calligraphy, precious and semiprecious stones and intricate floral designs representing eternal paradise, and is the pinnacle of Mughal architecture as well as romance.""]"
Otherworldly Hampi,Indian Tourism ,"[""Magnificent, even in ruins, Hampi was once the cosmopolitan Vijayanagar, capital of a powerful Hindu empire, spread across an emerald-green and terracotta-red landscape. Its temples and royal structures combine sublimely with the terrain: giant rocks balance on slender pedestals near an ancient elephant garage; temples tuck into crevices between boulders; and wicker coracles float by rice paddies and bathing buffalo near a gargantuan bathtub for a former queen. As the sunset casts a rosy glow over the dreamy landscape, you might just forget what planet you’re on.""]"
Ladakh: A Spiritual Journey in the Shadow of the Himalaya,Indian Tourism ,"[""As you head north, the air grows cooler and crisper, and you reach quaint, historic hill stations, summer escapes that are ringed by snow-capped peaks. In Ladakh cultural influences came via mountain passes. Tibetan Buddhism thrives, and multilayered monasteries emerge from the forest or steep cliffs as vividly and poetically as the sun rises over Khangchendzonga. Weathered prayer flags flutter in the wind, the soothing sound of monks chanting reverberates in meditation halls, and locals abound with holy offerings, all in the shadow of the mighty Himalaya.""]"
Caves of Ajanta,Indian Tourism ,"[""They may have been ascetics, but the 2nd-century-BC monks who created the Ajanta caves certainly had an eye for the dramatic. The 30 rock-cut forest grottoes punctuate the side of a horseshoe-shaped cliff, and originally had individual staircases leading down to the river. The architecture and towering stupas made these caves inspiring places to meditate and live, but the real bling came centuries later, in the form of exquisite carvings and paintings depicting the Buddha’s former lives. Renunciation of the worldly life was never so serenely sophisticated.""]"
The Sacred and Spiritual City of Varanasi,Indian Tourism ,"[""Welcome to Varanasi, a city full of life and death, and one of India's most revered sacred cities. Pilgrims flock here to worship, take a holy dip in the Ganges River, or cremate loved ones. Hindus believe the waters of the Ganges cleanse away sins, while dying here is deemed particularly propitious as it offers emancipation from the arduous life-and-death cycle. Varanasi will swiftly sweep you into its dizzying spiritual whirlwind – just take a deep breath and immerse yourself in pondering the meaning of life, death…and beyond.""]"
Exploring Delhi's Rich History and Culture,Indian Tourism ,"[""India's capital bears the mighty remnants of former empires, from great Mughal tombs to grandiose British-era mansions. There's so much to see here: the crumbling splendour of Old Delhi – with the Jama Masjid, Red Fort and its havelis (ornately decorated residences), the ancient forts of Tughlaqabad and Purana Qila, and the wonders of Qutb Minar and Mehrauli Archaeological Park. Add to this the city's many fine eateries, with offerings from street food to modern Indian, superb museums and amazing shopping, and it's easy to see why Delhi mesmerises many.""]"
Amritsar's Golden Temple,Indian Tourism ,"[""The Golden Temple in Amritsar, is the Sikhs' holiest of shrines, and has a magical atmosphere. Seeming to float atop a glistening pool named for the 'nectar of immortality', the temple is truly golden (the lotus-shaped dome is gilded in the real thing). Even when crowded with pilgrims it has a graceful tranquillity, with the sounds of kirtan (Sikh devotional singing) and birds chirping outside, and the mirror-like sacred pool that surrounds it.""]"
"The Mighty Mehrangarh Fort in Jodhpur, Rajasthan",Indian Tourism ,"[""India has many inconceivably magnificent fortresses, but Jodhpur's Mehrangarh is among the finest, rearing up from its rocky outcrop. Like others, its huge doorways were built to accommodate elephants and its entryways designed to confuse invaders, but this is one of the most imposing settings of them all (though there's a lot of competition). India's forts typically tower above their surroundings like fantastical story-book visions, but Mehrangarh has the added glory of mesmerising views down to Jodhpur, Rajasthan's magical-looking blue city.""]"
India's Rich History through its Ancient Ruins,Indian Tourism ,"[""You can wander back through time throughout India, with the legacy of countless cultures and empires scattered across cities and countryside: you don't get to be a 5000-year-old civilisation without having lots of these around. Hampi Rosy-hued temples and palaces of the mighty capital of Vijayanagar are scattered among otherworldly looking boulders and hilltops. Mandu Many of the tombs, palaces, monuments and mosques on Mandu's 20-sq-km green plateau are among India's finest Afghan architecture. Nalanda This Unesco-listed, 1600-year-old university once enrolled 10,000 monks and students. Its monasteries, temples and stupas are still elegant in ruins. Delhi Conquered and built up repeatedly over the past 3000 years, Delhi is packed full of the monumental ruins of ancient powerhouses. Fatehpur Sikri A ghostly abandoned Mughal city, close to Agra and the Taj Mahal. Maharashtra Magnificent rock-cut Buddhist temple caves.""]"
